Region Name,Region,Year,H-Exp,G-Exp,GCF,Exports,Imports,GDP
Eastern Africa,1,1990,45301,12118,11751,11479,16227,64967
Middle Africa,2,1990,26477,8275,6334,13919,11553,43433
Northern Africa,3,1990,112202,29139,48839,47993,53939,183938
Southern Africa,4,1990,72701,23996,22505,31133,26147,120044
Western Africa,5,1990,59043,8951,11079,22519,18453,82595
Eastern Asia,7,1990,2123656,534090,1314686,637430,586832,4039883
Central Asia,8,1990,34442,8597,20894,12450,22382,53119
Southern Asia,9,1990,345918,58495,140491,47737,69204,517386
South-Eastern Asia,10,1990,203361,35747,118624,177021,179005,367243
Western Asia,11,1990,295556,100454,106350,179718,156954,533895
Eastern Europe,13,1990,459930,176096,258648,206662,206372,895866
Northern Europe,14,1990,997098,368335,376760,491481,494231,1739504
Southern Europe,15,1990,1141991,359562,447690,381179,418511,1916650
Western Europe,16,1990,2206498,769210,902757,1156818,1150624,3881594
Northern America,18,1990,4159291,1082365,1411326,702424,779215,6574664
Caribbean,20,1990,58771,17221,19247,50355,51219,94390
Central America,21,1990,244438,30807,90306,67987,72621,360928
South America,22,1990,459973,114712,134069,96220,69810,744011
Oceania,24,1990,220081,70357,89702,67638,69484,381249
Eastern Africa,1,1995,45763,9873,11651,14955,20030,62080
Middle Africa,2,1995,16824,5173,5809,12609,11413,29826
Northern Africa,3,1995,136539,30507,45273,51964,58674,205616
Southern Africa,4,1995,101203,30676,30315,39783,39926,162409
Western Africa,5,1995,54422,10139,9810,22112,20615,76111
Eastern Asia,7,1995,3821201,1022312,2125033,1123499,1036204,7054729
Central Asia,8,1995,24735,6443,9412,17205,18502,39085
Southern Asia,9,1995,392943,68886,168678,84684,86215,621497
South-Eastern Asia,10,1995,382432,66199,242639,405803,416155,694480
Western Asia,11,1995,376602,115706,151207,211016,209483,647613
Eastern Europe,13,1995,426966,150592,188437,256244,245067,775630
Northern Europe,14,1995,1156696,418428,355635,670694,613585,1987130
Southern Europe,15,1995,1243351,367928,425604,508935,492187,2052513
Western Europe,16,1995,3051041,1112022,1135367,1615196,1526390,5386889
Northern America,18,1995,5322636,1275874,1743184,1032584,1103577,8269749
Caribbean,20,1995,81139,18669,19304,53878,52828,120049
Central America,21,1995,260431,39847,86994,117419,112068,396558
South America,22,1995,904551,239917,279462,157332,177582,1400704
Oceania,24,1995,274786,84520,114095,98099,99765,471848
Eastern Africa,1,2000,52443,10978,13405,15610,21684,70493
Middle Africa,2,2000,19294,6161,5549,17167,12436,35670
Northern Africa,3,2000,161189,37064,51402,75647,64770,260532
Southern Africa,4,2000,90642,27026,23849,43034,39550,144870
Western Africa,5,2000,55131,9839,10679,36215,23763,88043
Eastern Asia,7,2000,3816197,1114553,1903773,1423242,1294746,6973429
Central Asia,8,2000,23291,5852,8127,19698,17366,39374
Southern Asia,9,2000,467147,85319,178655,110539,116448,727245
South-Eastern Asia,10,2000,342744,62045,152348,508685,452347,614321
Western Asia,11,2000,459659,160900,174096,352146,282759,863653
Eastern Europe,13,2000,356408,112670,145250,291586,255760,649490
Northern Europe,14,2000,1378163,456996,438079,839774,791223,2321966
Southern Europe,15,2000,1219502,361767,463994,562083,607230,1999947
